,Carpet Area,Super Area,Chennai,Delhi,Hyderabad,Kolkata,Mumbai,Semi-Furnished,Unfurnished,Bachelors/Family,Family,Contact Builder,Contact Owner,BHK,Size,Bathroom,0,0
0,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1100,2,5.0,92
1,0,1,0,0,0,1,0,1,0,1,0,0,1,2,800,1,5.0,13
2,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1000,1,5.0,13
3,0,1,0,0,0,1,0,0,1,1,0,0,1,2,800,1,7.0,12
4,1,0,0,0,0,1,0,0,1,0,0,0,1,2,850,1,5.0,12
5,0,1,0,0,0,1,0,0,1,1,0,0,1,2,600,2,4.0,91
6,0,1,0,0,0,1,0,0,1,0,0,0,0,2,700,2,6.0,94
7,0,1,0,0,0,1,0,0,1,0,0,0,0,1,250,1,6.0,12
8,1,0,0,0,0,1,0,0,1,0,0,0,0,2,800,2,6.0,12
9,1,0,0,0,0,1,0,1,0,1,0,0,1,2,1000,2,6.0,13
10,1,0,0,0,0,1,0,1,0,1,0,0,0,3,1200,2,5.0,14
11,1,0,0,0,0,1,0,0,1,1,0,0,0,1,400,1,6.0,11
12,1,0,0,0,0,1,0,0,0,0,0,0,1,1,250,1,5.0,14
13,1,0,0,0,0,1,0,0,1,1,0,0,0,1,375,1,5.0,12
14,1,0,0,0,0,1,0,0,1,0,0,0,1,3,900,2,5.0,92
15,1,0,0,0,0,1,0,0,0,1,0,0,1,3,1286,2,6.0,11
16,0,1,0,0,0,1,0,1,0,1,0,0,1,2,600,1,5.0,12
17,0,1,0,0,0,1,0,0,1,1,0,0,1,2,800,1,6.0,92
18,1,0,0,0,0,1,0,0,1,1,0,0,1,2,2000,1,6.0,93
19,0,1,0,0,0,1,0,0,1,1,0,0,1,2,660,1,6.0,12
20,1,0,0,0,0,1,0,0,1,0,1,0,1,2,650,1,7.0,12
21,1,0,0,0,0,1,0,0,1,0,0,0,1,2,400,2,6.0,23
22,1,0,0,0,0,1,0,0,1,1,0,0,1,1,300,1,6.0,94
23,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1600,1,6.0,92
24,0,1,0,0,0,1,0,1,0,0,0,0,0,1,400,1,5.0,12
25,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1000,1,5.0,11
26,1,0,0,0,0,1,0,1,0,1,0,0,0,1,355,1,6.0,11
27,0,1,0,0,0,1,0,1,0,1,0,0,1,2,1000,1,6.0,93
28,0,1,0,0,0,1,0,0,1,1,0,0,1,2,800,1,6.0,45
29,0,1,0,0,0,1,0,0,1,1,0,0,1,2,850,2,6.0,92
30,1,0,0,0,0,1,0,0,1,1,0,0,1,1,350,1,5.0,92
31,1,0,0,0,0,1,0,0,1,1,0,0,1,2,900,2,6.0,92
32,0,1,0,0,0,1,0,1,0,1,0,0,1,2,550,1,6.0,11
33,1,0,0,0,0,1,0,0,1,1,0,0,1,2,500,2,6.0,92
34,1,0,0,0,0,1,0,0,1,1,0,0,1,3,1100,1,5.0,23
35,1,0,0,0,0,1,0,1,0,1,0,0,1,2,850,1,5.0,12
36,1,0,0,0,0,1,0,0,1,0,0,0,0,2,800,1,6.0,22
37,1,0,0,0,0,1,0,0,1,0,0,0,1,2,630,1,5.0,93
38,1,0,0,0,0,1,0,1,0,0,0,0,1,2,900,2,6.0,12
39,1,0,0,0,0,1,0,1,0,1,0,0,1,1,270,1,6.0,12
40,1,0,0,0,0,1,0,1,0,1,0,0,1,2,630,1,6.0,91
41,1,0,0,0,0,1,0,0,0,0,0,0,1,3,1500,2,5.0,92
42,0,1,0,0,0,1,0,0,1,1,0,0,1,1,600,1,6.0,25
43,1,0,0,0,0,1,0,1,0,1,0,0,1,2,700,1,4.0,414
44,0,1,0,0,0,1,0,1,0,1,0,0,1,1,300,1,5.0,93
45,0,1,0,0,0,1,0,1,0,0,1,0,1,2,1300,2,6.0,91
46,1,0,0,0,0,1,0,1,0,0,0,0,1,2,400,1,5.0,33
47,0,1,0,0,0,1,0,0,1,0,1,0,1,2,650,2,7.0,91
48,0,1,0,0,0,1,0,1,0,1,0,0,1,3,2000,2,5.0,92
49,0,1,0,0,0,1,0,1,0,1,0,0,1,3,1068,2,5.0,93
50,0,1,0,0,0,1,0,0,0,1,0,0,1,1,150,1,6.0,11
51,1,0,0,0,0,1,0,0,1,0,0,0,1,1,450,1,6.0,22
52,1,0,0,0,0,1,0,0,1,1,0,0,1,2,800,1,7.0,91
53,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1000,2,4.0,92
54,0,1,0,0,0,1,0,1,0,0,0,0,1,2,900,1,5.0,55
55,1,0,0,0,0,1,0,0,1,1,0,0,1,1,600,1,5.0,92
56,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1200,1,6.0,11
57,0,1,0,0,0,1,0,1,0,0,0,0,1,2,1200,2,6.0,22
58,0,1,0,0,0,1,0,1,0,1,0,0,1,2,650,2,7.0,93
59,1,0,0,0,0,1,0,1,0,1,0,0,1,2,720,2,7.0,44
60,1,0,0,0,0,1,0,0,1,0,0,0,1,1,300,1,7.0,13
61,1,0,0,0,0,1,0,0,1,1,0,0,0,3,1200,3,6.0,92
62,1,0,0,0,0,1,0,0,1,1,0,0,1,2,700,2,6.0,78
63,0,1,0,0,0,1,0,1,0,1,0,0,1,3,2000,2,6.0,13
64,0,1,0,0,0,1,0,1,0,1,0,0,1,1,250,1,5.0,94
65,1,0,0,0,0,1,0,0,1,0,0,0,1,2,1100,1,6.0,93
66,1,0,0,0,0,1,0,0,1,1,0,0,1,1,300,1,7.0,92
67,0,1,0,0,0,1,0,1,0,1,0,0,1,2,600,1,5.0,92
68,1,0,0,0,0,1,0,0,1,1,0,0,1,2,800,1,5.0,92
69,0,1,0,0,0,1,0,0,1,1,0,0,1,1,680,1,6.0,13
70,0,1,0,0,0,1,0,0,1,1,0,0,1,1,680,1,6.0,92
71,1,0,0,0,0,1,0,1,0,0,0,0,0,2,850,1,6.0,14
72,1,0,0,0,0,1,0,1,0,0,0,0,0,2,850,1,6.0,12
73,0,1,0,0,0,1,0,0,1,0,0,0,1,2,700,1,5.0,92
74,0,1,0,0,0,1,0,0,1,1,0,0,1,3,1500,2,5.0,92
75,0,1,0,0,0,1,0,1,0,1,0,0,1,2,950,2,6.0,14
76,0,1,0,0,0,1,0,0,1,1,0,0,1,2,500,1,6.0,92
77,1,0,0,0,0,1,0,1,0,1,0,0,1,1,450,1,6.0,24
78,0,1,0,0,0,1,0,0,1,0,0,0,1,2,700,1,5.0,92
79,0,1,0,0,0,1,0,0,1,1,0,0,1,1,500,1,5.0,12
80,0,1,0,0,0,1,0,1,0,1,0,0,1,3,1800,2,6.0,92
81,1,0,0,0,0,1,0,1,0,1,0,0,1,1,500,1,5.0,13
82,1,0,0,0,0,1,0,0,0,1,0,0,1,2,480,2,5.0,93
83,0,1,0,0,0,1,0,1,0,1,0,0,1,6,1000,2,6.0,11
84,0,1,0,0,0,1,0,0,0,1,0,0,1,2,800,1,6.0,12
85,0,1,0,0,0,1,0,0,1,1,0,0,1,1,435,1,5.0,23
86,1,0,0,0,0,1,0,1,0,1,0,0,0,2,700,2,5.0,92
87,0,1,0,0,0,1,0,0,0,1,0,0,0,2,800,1,6.0,44
88,0,1,0,0,0,1,0,0,1,1,0,0,1,2,450,1,6.0,13
89,1,0,0,0,0,1,0,1,0,1,0,0,0,2,550,1,5.0,23
90,1,0,0,0,0,1,0,0,1,0,0,0,0,2,800,2,6.0,94
91,1,0,0,0,0,1,0,1,0,0,1,0,1,2,550,2,6.0,92
92,0,1,0,0,0,1,0,0,0,1,0,0,1,1,600,1,5.0,24
93,0,1,0,0,0,1,0,0,1,1,0,0,1,1,500,1,6.0,91
94,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1000,2,4.0,12
95,1,0,0,0,0,1,0,0,1,1,0,0,1,1,300,1,5.0,12
96,0,1,0,0,0,1,0,0,0,1,0,0,1,2,1200,2,6.0,13
97,1,0,0,0,0,1,0,1,0,1,0,0,1,2,500,1,6.0,34
98,0,1,0,0,0,1,0,0,1,0,1,0,1,4,1200,2,4.0,12
99,1,0,0,0,0,1,0,1,0,1,0,0,0,2,900,2,6.0,12
100,1,0,0,0,0,1,0,0,1,1,0,0,0,3,1300,3,6.0,92
101,1,0,0,0,0,1,0,0,1,1,0,0,0,4,1600,3,6.0,15
102,0,1,0,0,0,1,0,0,1,0,1,0,1,3,1450,2,5.0,91
103,0,1,0,0,0,1,0,0,0,0,0,0,0,2,1100,2,7.0,22
104,1,0,0,0,0,1,0,0,1,1,0,0,1,2,950,2,6.0,91
105,1,0,0,0,0,1,0,0,1,1,0,0,1,1,600,1,6.0,85
106,1,0,0,0,0,1,0,0,1,1,0,0,1,2,700,2,7.0,92
107,0,1,0,0,0,1,0,0,1,0,1,0,1,3,750,1,5.0,92
108,0,1,0,0,0,1,0,0,1,1,0,0,1,2,1000,1,5.0,91
109,0,1,0,0,0,1,0,0,0,1,0,0,1,1,220,1,4.0,92
110,1,0,0,0,0,1,0,1,0,0,0,0,0,1,300,1,5.0,13
111,1,0,0,0,0,1,0,0,1,1,0,0,0,1,300,1,6.0,91
112,0,1,0,0,0,1,0,1,0,1,0,0,1,1,700,1,7.0,12
