Marital status,Application mode,Application order,Course,Daytime/evening attendance	,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,13,1,9991,1,1,129.1,1,1,35,1,7,114.3,1,0,1,1,0,1,31,0,0,6,9,4,11.50221632,0,0,5,11,3,12.1465103,0,7.6,0.7,-2.22,1
1,5,1,9649,1,1,117.6,1,38,34,4,9,131.2,1,0,0,1,0,1,19,0,0,8,10,6,8.91685393,0,0,8,11,5,15.09843464,0,13.8,-0.8,-4.06,0
1,38,1,7998,1,1,137.6,1,34,36,9,8,136.4,1,0,0,1,0,0,30,0,0,5,0,3,11.18378856,0,0,5,8,4,14.18397144,3,9.7,3.7,3.51,1
1,1,1,9032,1,1,143.8,1,39,36,4,9,114.3,0,0,0,1,0,0,30,0,0,6,8,0,12.49907977,0,0,6,8,4,14.9467464,0,9.4,3.7,2.36,1
1,48,5,8944,1,1,138.5,1,40,34,1,7,149.0,1,0,0,1,0,0,27,0,0,6,0,4,9.45778909,0,0,6,5,5,12.35022205,0,13.0,2.5,-3.16,1
1,1,2,9477,1,1,136.5,1,35,2,0,5,123.8,0,0,0,1,1,0,20,0,0,8,9,2,4.058e-05,0,0,6,7,7,9.28573155,0,11.9,0.4,0.6,1
1,1,1,54,1,1,129.7,1,35,36,9,8,100.2,0,0,0,1,0,0,19,0,0,6,4,0,11.14710181,0,7,6,15,3,12.77975932,0,15.3,0.9,-0.1,1
1,33,1,9391,1,1,125.3,1,33,1,1,8,133.0,1,0,0,1,0,0,64,0,0,5,6,3,9.72409663,0,0,6,7,3,8.87287513,0,7.6,0.1,-4.06,1
1,43,1,9991,1,1,135.7,1,1,38,9,9,111.6,1,0,0,1,0,1,24,0,0,8,8,0,13.46141195,0,0,6,16,2,12.73714117,2,7.6,-0.8,-0.55,0
2,48,1,9991,1,1,144.8,1,40,36,3,9,125.4,1,0,0,1,0,0,57,0,0,6,9,1,10.69610105,0,0,8,6,4,9.13946304,0,12.9,1.3,-0.54,1
1,45,1,8978,1,1,130.7,1,34,36,1,8,96.3,1,0,0,1,0,0,21,0,0,6,6,8,8.9438669,0,0,8,0,3,14.58740053,5,12.0,2.9,-0.29,1
1,13,1,9415,1,1,138.8,1,35,35,8,9,111.0,0,0,0,1,0,0,19,0,0,6,4,7,8.1e-07,0,0,5,9,4,2.199e-05,2,14.2,-0.1,-1.36,1
